PULocationID,trips,revenue,avg_revenue,avg_fare_per_mile,avg_duration_per_mile,avg_tip_rate,Zone,Borough
81,220,8302.69,37.7395,6.020345068253283,4.763372811447052,0.0016081921880400966,Eastchester,Bronx
82,1262,40494.96,32.08792393026941,38.669587068085335,18.357938569237678,0.021016267418080603,Elmhurst,Queens
83,428,14750.33,34.46338785046729,33.07910162085188,10.336999479292846,0.03226616447360407,Elmhurst/Maspeth,Queens
85,618,17776.92,28.7652427184466,14.859311104188325,15.326822478057979,0.0038981460285196787,Erasmus,Brooklyn
86,363,18180.57,50.08421487603306,4.915579332200153,5.037521428021735,0.0010569245770283143,Far Rockaway,Queens
87,15734,474650.65,30.167195245964155,28.72450131735093,19.569580022520398,0.1575847878975039,Financial District North,Manhattan
88,8556,270490.29,31.61410589060308,28.029811238375945,20.547685451181273,0.14783121342106648,Financial District South,Manhattan
89,1614,47387.8,29.360470879801735,9.628535341729506,10.168884461328014,0.004685281487322013,Flatbush/Ditmas Park,Brooklyn
90,49353,1071217.61,21.705217717261363,14.562068851958784,10.668688049943894,0.2153155683059766,Flatiron,Manhattan
91,1056,30274.77,28.66928977272727,10.933963834719657,10.515342527062709,0.001981487473886563,Flatlands,Brooklyn
92,483,15448.71,31.984906832298133,23.364706504883888,18.443258770844015,0.007262139719456377,Flushing,Queens
93,487,39408.74,80.92143737166325,95.8760763462247,2.341624320087853,0.12900447967445544,Flushing Meadows-Corona Park,Queens
94,139,4772.64,34.335539568345325,18.731835841876862,6.265662076390785,0.0,Fordham South,Bronx
95,1107,31889.25,28.806910569105693,46.83860995389303,35.35941166438858,0.014974257467425403,Forest Hills,Queens
96,22,573.72,26.078181818181818,12.432897048548284,4.174330029838564,0.05268285323310899,Forest Park/Highland Park,Queens
97,2100,57433.49,27.34928095238095,34.97834493477437,30.136621030764708,0.054763323683638794,Fort Greene,Brooklyn
98,136,4209.37,30.951249999999998,12.760310391547717,10.322778828164896,0.0064181976511665274,Fresh Meadows,Queens
99,1,15.3,15.3,4.571428571428572,2.922619047619048,0.0,Freshkills Park,Staten Island
100,46990,1122874.59,23.89603298574165,15.464574060532113,10.92820703466951,0.20168601847222264,Garment District,Manhattan
101,149,5419.58,36.373020134228184,3.7149973303454127,3.4354000978795574,0.006171772140445735,Glen Oaks,Queens
102,273,7310.42,26.77809523809524,13.309204126463696,10.45619587331723,0.005497538824191299,Glendale,Queens
106,402,11776.03,29.29360696517413,45.142396687985226,38.05035713660509,0.02552179098256334,Gowanus,Brooklyn
107,63949,1385654.2,21.668113653067287,14.65940044281834,11.103443157194265,0.20752090820157879,Gramercy,Manhattan
108,219,7756.75,35.4189497716895,23.072107305053603,20.85017054579718,0.0,Gravesend,Brooklyn
109,4,246.48000000000002,61.620000000000005,2.9238518912127427,3.263177626575713,0.0,Great Kills,Staten Island
111,1,26.45,26.45,4.1862416107382545,3.6437360178970915,0.0,Green-Wood Cemetery,Brooklyn
112,1400,37384.4,26.703142857142858,26.364755881158867,15.255943727525167,0.04599278510377646,Greenpoint,Brooklyn
113,46120,998643.98,21.653165221162187,13.783350316424553,10.223547704627236,0.21361102176715066,Greenwich Village North,Manhattan
114,49994,1120313.52,22.408959475137017,12.680704384375339,8.907107789806044,0.19952033991689366,Greenwich Village South,Manhattan
115,9,433.52,48.16888888888889,167.58648679373115,122.83749752627584,0.07270926547352723,Grymes Hill/Clifton,Staten Island
116,3050,76626.68,25.12350163934426,30.27867448329763,23.161224959524045,0.057294536465735305,Hamilton Heights,Manhattan
117,330,16219.11,49.148818181818186,6.137007984364302,6.689043025675611,0.00031532809888689187,Hammels/Arverne,Queens
118,6,330.75,55.125,2.7322601988599255,2.27077760340208,0.0,Heartland Village/Todt Hill,Staten Island
119,412,13658.25,33.151092233009706,27.235623251940492,24.396304055191727,0.009905917961532566,Highbridge,Bronx
120,20,1228.77,61.4385,103.04925361462195,5.232505703300324,0.07971451408363914,Highbridge Park,Manhattan
121,309,10340.41,33.464110032362456,5.820951175456764,5.237915214700559,0.015308813717269559,Hillcrest/Pomonok,Queens
122,177,6036.0199999999995,34.10180790960452,16.630770592864984,14.776451998956762,0.0,Hollis,Queens
123,338,10134.289999999999,29.983106508875736,10.18964859374995,11.059221806673426,0.003851630798156328,Homecrest,Brooklyn
124,298,11357.45,38.11224832214765,34.22796109547102,4.026823017142769,0.020773124731365233,Howard Beach,Queens
125,15601,372455.22,23.873804243317736,20.593184334622205,14.4979884584871,0.2025759058920513,Hudson Sq,Manhattan
